t,temperature,free_energy,internal_energy,entropy,partition_quotient,cache_thermal_index,neuromorphic_energy_ratio,learning_loss,phase_event
115,69.35666668,30.27933571,31.73736096,0.02102214,0.58370974,0.00561777,0.84288260,31.73736096,0.0
116,69.36402646,30.77992090,32.38802755,0.02318358,0.57953925,0.00561730,0.83215764,32.38802755,0.0
117,69.37159695,31.09122997,32.69344813,0.02309617,0.57697230,0.00561681,0.83705001,32.69344813,0.0
118,69.37936454,30.40633233,31.90676415,0.02162649,0.58272548,0.00561630,0.84057569,31.90676415,0.0
119,69.38731557,30.74187096,32.16747286,0.02054557,0.57994351,0.00561540,0.84741906,32.16747286,0.0
120,69.39543623,29.67745693,31.04643654,0.01972723,0.58893801,0.00561486,0.85798209,31.04643654,0.0
121,69.40371269,30.46212601,32.03308823,0.02263513,0.58234675,0.00561431,0.83288436,32.03308823,0.0
122,69.41213099,32.13251492,33.51144516,0.01986584,0.56853023,0.00561374,0.85527687,33.51144516,0.0
123,69.42067710,31.87887468,33.33839273,0.02102426,0.57064377,0.00561317,0.86265821,33.33839273,0.0
124,69.42933693,31.72623100,33.26581938,0.02217490,0.57193250,0.00561240,0.83586828,33.26581938,0.0
125,69.43809628,32.07935238,33.56195583,0.02135144,0.56906417,0.00561163,0.84880839,33.56195583,0.0
126,69.44694089,32.89733279,34.42501501,0.02199783,0.56243386,0.00561102,0.84634025,34.42501501,0.0
127,69.45585643,33.43949770,35.04762462,0.02315322,0.55809459,0.00561041,0.84342093,35.04762462,0.0
128,69.46482847,32.75879670,34.28926758,0.02203231,0.56362541,0.00560979,0.84803216,34.28926758,0.0
129,69.47384253,34.00287578,35.56626224,0.02250324,0.55365619,0.00560917,0.84361386,35.56626224,0.0
130,69.48288406,35.09223368,36.59287347,0.02159726,0.54507833,0.00560837,0.85706830,36.59287347,0.0
131,69.49193842,34.79181203,36.43827258,0.02369283,0.54747589,0.00560775,0.84744383,36.43827258,0.0
132,69.50099095,36.15328696,37.64206222,0.02142092,0.53689060,0.00560695,0.86871670,37.64206222,0.0
